행정기관코드,행정기관,남 인구수,연령구간인구수,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,여 인구수,연령구간인구수.1,0~4세.1,5~9세.1,10~14세.1,15~19세.1,20~24세.1,25~29세.1,30~34세.1,35~39세.1,40~44세.1,45~49세.1,50~54세.1,55~59세.1,60~64세.1,65~69세.1,70~74세.1,75~79세.1,80~84세.1,85~89세.1,90~94세.1,95~99세.1,100세 이상.1,총 인구수,연령구간인구수.2,0~4세.2,5~9세.2,10~14세.2,15~19세.2,20~24세.2,25~29세.2,30~34세.2,35~39세.2,40~44세.2,45~49세.2,50~54세.2,55~59세.2,60~64세.2,65~69세.2,70~74세.2,75~79세.2,80~84세.2,85~89세.2,90~94세.2,95~99세.2,100세 이상.2,총 인구수.1,연령구간인구수.3,0~4세.3,5~9세.3,10~14세.3,15~19세.3,20~24세.3,25~29세.3,30~34세.3,35~39세.3,40~44세.3,45~49세.3,50~54세.3,55~59세.3,60~64세.3,65~69세.3,70~74세.3,75~79세.3,80~84세.3,85~89세.3,90~94세.3,95~99세.3,100세 이상.3,총 인구수.2,연령구간인구수.4,0~4세.4,5~9세.4,10~14세.4,15~19세.4,20~24세.4,25~29세.4,30~34세.4,35~39세.4,40~44세.4,45~49세.4,50~54세.4,55~59세.4,60~64세.4,65~69세.4,70~74세.4,75~79세.4,80~84세.4,85~89세.4,90~94세.4,95~99세.4,100세 이상.4,총 인구수.3,연령구간인구수.5,0~4세.5,5~9세.5,10~14세.5,15~19세.5,20~24세.5,25~29세.5,30~34세.5,35~39세.5,40~44세.5,45~49세.5,50~54세.5,55~59세.5,60~64세.5,65~69세.5,70~74세.5,75~79세.5,80~84세.5,85~89세.5,90~94세.5,95~99세.5,100세 이상.5
0,전국  ,"25,631,538","25,631,538","726,460","1,072,653","1,211,077","1,211,949","1,524,378","1,823,908","1,737,714","1,684,266","2,055,130","2,039,606","2,303,096","2,052,227","2,097,254","1,554,976","1,038,388","713,448","507,915","212,726","54,180","8,880","1,307","25,798,480","25,798,480","691,045","1,020,598","1,144,645","1,134,811","1,402,493","1,642,682","1,579,871","1,598,401","1,980,502","1,990,483","2,244,358","2,017,243","2,132,394","1,649,709","1,174,486","908,877","802,501","459,932","177,039","39,806","6,604","25,626,211","25,626,211","722,848","1,067,962","1,210,328","1,210,202","1,516,184","1,816,653","1,738,039","1,676,299","2,058,847","2,038,344","2,302,357","2,054,837","2,102,187","1,563,546","1,039,913","714,082","513,601","214,782","54,804","9,005","1,391","25,795,268","25,795,268","687,427","1,016,418","1,143,877","1,133,259","1,395,777","1,637,682","1,579,098","1,588,368","1,984,303","1,987,300","2,243,541","2,021,614","2,137,849","1,657,545","1,176,527","909,717","805,628","463,285","178,743","40,538","6,772","25,621,573","25,621,573","718,749","1,063,773","1,208,169","1,208,266","1,508,626","1,814,509","1,748,021","1,669,407","2,057,937","2,028,959","2,297,644","2,058,136","2,105,716","1,572,761","1,043,543","718,702","515,358","217,307","55,442","9,119","1,429","25,792,708","25,792,708","683,499","1,012,269","1,142,345","1,131,608","1,389,208","1,637,011","1,586,436","1,581,605","1,983,095","1,977,469","2,237,575","2,026,849","2,140,345","1,666,718","1,181,147","912,158","807,453","467,750","180,147","41,089","6,932"
1100000000,서울특별시  ,"4,567,739","4,567,739","116,614","161,429","185,689","197,425","271,237","390,716","379,852","332,153","363,795","352,011","397,039","338,380","343,434","271,757","188,172","136,287","93,848","36,511","9,411","1,703",276,"4,857,134","4,857,134","109,390","154,162","176,096","189,009","304,285","418,972","379,071","333,112","368,850","362,938","405,844","352,068","375,498","310,677","221,007","169,985","127,276","66,321","25,368","6,162","1,043","4,567,957","4,567,957","115,991","160,533","185,566","197,895","271,775","389,347","380,056","330,941","364,356","351,479","396,950","338,582","343,704","272,726","188,291","136,396","94,959","36,935","9,479","1,706",290,"4,859,626","4,859,626","108,794","153,327","175,969","190,356","305,087","418,026","378,967","331,634","369,727","362,317","405,765","352,462","375,661","311,976","221,191","170,576","128,084","66,857","25,516","6,275","1,059","4,566,299","4,566,299","115,337","159,795","184,981","197,775","270,730","389,410","382,352","329,572","364,364","349,545","396,010","338,624","343,604","273,876","188,777","137,154","95,378","37,401","9,615","1,700",299,"4,860,105","4,860,105","108,263","152,735","175,455","190,483","304,942","418,248","381,034","330,437","369,479","360,082","404,725","352,974","375,294","313,357","221,934","171,361","128,653","67,583","25,644","6,332","1,090"
2600000000,부산광역시  ,"1,618,749","1,618,749","41,333","63,912","68,919","67,836","93,245","109,745","103,536","99,530","127,544","121,660","138,387","126,702","143,246","119,500","83,807","55,948","36,851","13,453","3,103",420,72,"1,697,358","1,697,358","39,356","60,582","65,329","64,001","88,307","102,363","96,466","95,847","123,903","120,997","142,360","135,400","160,060","134,634","99,254","70,537","56,380","28,523","10,347","2,375",337,"1,618,202","1,618,202","41,110","63,772","68,959","67,742","93,251","108,985","103,609","98,894","127,694","121,581","138,267","126,648","143,240","119,913","84,000","55,802","37,497","13,604","3,130",432,72,"1,697,314","1,697,314","39,143","60,387","65,282","64,115","88,186","102,102","96,280","95,256","124,120","120,768","142,103","135,402","160,201","135,021","99,550","70,570","56,819","28,802","10,443","2,429",335,"1,616,930","1,616,930","40,824","63,560","68,918","67,642","92,800","108,403","104,078","98,554","127,503","121,118","138,003","126,560","143,128","120,218","84,267","56,125","37,742","13,802","3,159",453,73,"1,696,609","1,696,609","38,967","60,124","65,270","64,018","87,672","101,842","96,660","94,843","124,173","120,150","141,474","135,441","160,028","135,481","100,089","70,879","57,034","29,141","10,493","2,484",346
2700000000,대구광역시  ,"1,162,217","1,162,217","31,269","49,000","55,029","57,661","74,228","81,001","76,198","71,455","87,860","91,327","106,400","96,673","96,632","71,324","49,675","31,508","23,021","9,435","2,197",299,25,"1,200,663","1,200,663","29,517","47,039","51,645","53,188","65,933","71,873","65,115","66,014","89,451","94,571","110,732","101,480","104,047","80,241","60,862","42,860","37,331","20,068","7,062","1,418",216,"1,160,942","1,160,942","31,079","48,928","55,011","57,257","73,624","80,460","76,214","71,283","87,895","91,110","106,115","96,813","96,923","71,479","49,850","31,423","23,393","9,504","2,242",313,26,"1,199,720","1,199,720","29,350","46,925","51,678","52,941","65,388","71,562","65,179","65,464","89,535","94,301","110,434","101,663","104,368","80,394","61,005","42,891","37,563","20,262","7,159","1,436",222,"1,159,876","1,159,876","30,886","48,805","54,930","56,915","73,066","80,212","76,734","70,986","87,816","90,637","105,716","97,052","97,094","71,566","50,045","31,626","23,489","9,682","2,272",321,26,"1,199,112","1,199,112","29,207","46,769","51,637","52,676","64,977","71,480","65,469","65,161","89,484","93,680","110,041","101,858","104,716","80,286","61,351","43,160","37,711","20,509","7,252","1,465",223
2800000000,인천광역시  ,"1,486,300","1,486,300","43,664","63,028","70,593","69,580","86,548","108,831","107,658","102,829","126,090","121,064","132,945","121,717","124,470","84,563","52,236","35,223","22,843","9,444","2,410",482,82,"1,483,202","1,483,202","41,505","59,985","66,881","65,904","80,089","99,535","98,125","96,427","118,715","116,262","132,328","122,949","124,904","89,016","57,046","44,221","36,855","21,193","8,813","2,089",360,"1,487,333","1,487,333","43,624","62,889","70,675","69,513","85,818","108,546","107,844","102,669","126,572","121,110","132,882","121,732","124,855","85,192","52,377","35,430","23,037","9,565","2,436",478,89,"1,484,455","1,484,455","41,435","59,892","66,983","65,722","79,665","99,343","98,201","96,057","119,015","116,185","132,302","123,208","125,368","89,765","57,197","44,327","37,028","21,352","8,914","2,133",363,"1,488,490","1,488,490","43,533","62,666","70,576","69,496","85,439","108,326","108,821","102,464","126,675","120,613","132,779","121,744","125,278","85,908","52,631","35,680","23,187","9,630","2,479",470,95,"1,485,991","1,485,991","41,323","59,695","66,880","65,753","79,296","99,354","98,885","95,874","119,028","115,770","132,009","123,617","125,635","90,590","57,505","44,499","37,115","21,625","9,009","2,153",376
